method,episode_idx,episode_id,start_index,goal_index,sampled_goal_gap,coverage_success,goal_state_success,state_dist,final_latent_distance,start_latent_distance,planning_latency_sec,max_coverage,final_coverage,steps_taken,skill_consistency,video_path
hierarchical,41,0,8,36,28,False,True,13.358362197875977,0.00042590111843310297,0.0007795739220455289,0.237017319991719,0.17450593355568816,0.17450593355568816,19,0.1966782033443451,
hierarchical,42,0,14,46,32,False,False,413.0228576660156,0.00017876652418635786,0.014959456399083138,0.23741417499695672,0.17450593355568816,0.17450593355568816,32,0.177969082724303,
hierarchical,43,0,49,74,25,False,False,279.8182678222656,0.013306550681591034,0.0018037738045677543,0.2370465125059127,0.17450593355568816,0.17450593355568816,32,0.1688124854117632,
hierarchical,44,0,28,60,32,False,False,256.3975830078125,0.01612943783402443,0.01728185825049877,0.23300739999103826,0.17450593355568816,0.17450593355568816,32,0.21103682927787304,
hierarchical,45,0,47,77,30,False,False,373.2925109863281,0.020700788125395775,0.021893896162509918,0.23116155000025174,0.17450593355568816,0.17450593355568816,32,0.19603762216866016,
hierarchical,46,0,35,59,24,False,False,258.2723693847656,0.013164344243705273,0.001049986109137535,0.23043633749330183,0.17450593355568816,0.17450593355568816,32,0.1483835019171238,
hierarchical,47,0,41,69,28,False,False,228.1363983154297,0.006805415730923414,0.003454082179814577,0.2412333874963224,0.17450593355568816,0.17450593355568816,32,0.1569959823973477,
hierarchical,48,0,5,31,26,False,False,541.3494873046875,0.010840668343007565,0.004427414387464523,0.24847257498913677,0.17450593355568816,4.006771365061971e-06,32,0.2326185740530491,
hierarchical,49,0,30,60,30,False,False,297.6933288574219,0.01612943783402443,0.0056115491315722466,0.2235618500126293,0.17450593355568816,0.17450593355568816,32,0.31722634471952915,
hierarchical,50,0,28,57,29,False,False,332.2431945800781,0.010466916486620903,0.011454500257968903,0.21996991250489373,0.17450593355568816,0.17450593355568816,32,0.23278839141130447,
hierarchical,51,0,48,77,29,False,False,235.08917236328125,0.020700788125395775,0.004267987795174122,0.22627663749153726,0.17450593355568816,0.17450593355568816,32,0.11757342843338847,
hierarchical,52,0,20,49,29,False,False,384.5762939453125,0.00960090197622776,0.002746786456555128,0.22506462499586632,0.17450593355568816,0.17450593355568816,32,0.2884614821523428,
hierarchical,53,0,33,57,24,False,False,377.24542236328125,0.010466916486620903,0.0013956734910607338,0.22029267498874106,0.17450593355568816,0.17450593355568816,32,0.1598335625603795,
hierarchical,54,0,3,32,29,False,False,148.46417236328125,0.004420229699462652,0.002926623448729515,0.2238178374900599,0.17450593355568816,0.17450593355568816,32,0.18997841142117977,
hierarchical,55,0,21,50,29,False,False,128.90054321289062,0.007922708056867123,0.003214230528101325,0.2257839500089176,0.17450593355568816,0.17450593355568816,32,0.1350902384147048,
hierarchical,56,0,18,44,26,False,False,325.8252258300781,0.008670429699122906,0.0021341857500374317,0.2331851500130142,0.17450593355568816,0.17450593355568816,32,0.18963018711656332,
hierarchical,57,0,8,35,27,False,False,79.21791076660156,0.000725547201000154,0.0009085767669603229,0.23006677500234218,0.17450593355568816,0.17450593355568816,32,0.17102674674242735,
hierarchical,58,0,45,72,27,False,False,378.6307067871094,0.01510724239051342,0.016220716759562492,0.226770650006074,0.17450593355568816,0.17450593355568816,32,0.25212512630969286,
hierarchical,59,0,21,50,29,False,False,149.93228149414062,0.007922708056867123,0.003214230528101325,0.22615773750294466,0.17450593355568816,0.17450593355568816,32,0.22711407393217087,
hierarchical,60,0,54,78,24,False,False,517.7765502929688,0.01786930114030838,0.004590968601405621,0.2217088374964078,0.17450593355568816,0.17450593355568816,32,0.1996784033253789,
hierarchical,61,0,33,60,27,False,False,250.85626220703125,0.01612943783402443,0.0031876189168542624,0.22203660001105163,0.17450593355568816,0.17450593355568816,32,0.10997683741152287,
hierarchical,62,0,33,61,28,False,False,228.6352996826172,0.014120152220129967,0.0027266209945082664,0.24190926250594202,0.17450593355568816,0.17450593355568816,32,0.19809711910784245,
hierarchical,63,0,35,63,28,False,False,411.4894104003906,0.010955455712974072,0.0031753797084093094,0.234138450017781,0.17450593355568816,0.17450593355568816,32,0.20024695619940758,
hierarchical,64,0,37,69,32,False,False,240.95790100097656,0.006805415730923414,0.0029728757217526436,0.251232037502632,0.17450593355568816,0.17450593355568816,32,0.208198013715446,
hierarchical,65,0,8,37,29,False,False,207.93443298339844,0.008811945095658302,0.0018678342457860708,0.2363755750047858,0.17450593355568816,0.17450593355568816,32,0.16934346966445446,
hierarchical,66,0,24,51,27,False,False,287.2982482910156,0.00017876652418635786,0.011431587859988213,0.23212417499598814,0.17450593355568816,0.17450593355568816,32,0.17186668515205383,
